version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Tanzania
info,gender,male
info,season,2025
info,date,2025/07/13
info,event,Quadrangular Twenty20 Series (Malawi)
info,venue,"TCA Oval, Blantyre"
info,city,Blantyre
info,toss_winner,Tanzania
info,toss_decision,field
info,player_of_match,SA Jumbe
info,winner,Tanzania
info,winner_wickets,10
info,player,Bahrain,Asif Ali
info,player,Bahrain,P Kurup
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,SS Shukla
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Abdul Majid Abbasi
info,player,Tanzania,Arun Yadav
info,player,Tanzania,DA Mehta
info,player,Tanzania,A Augastin
info,player,Tanzania,AM Kimote
info,player,Tanzania,K Nassoro
info,player,Tanzania,K Juma
info,player,Tanzania,LS Barkania
info,player,Tanzania,MS Maker
info,player,Tanzania,RE Francis
info,player,Tanzania,SA Jumbe
info,player,Tanzania,Shaik Basha
info,registry,people,A Augastin,056e3558
info,registry,people,AM Kimote,34e36b65
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Dawood,596982e6
info,registry,people,Arun Yadav,53ace082
info,registry,people,Asif Ali,0a4736eb
info,registry,people,DA Mehta,61a7d6e9
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,K Juma,089ebf89
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,LS Barkania,073126d6
info,registry,people,MS Maker,14318ae4
info,registry,people,P Kurup,50ceaef6
info,registry,people,RE Francis,20ca18bc
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,SA Jumbe,91056862
info,registry,people,SS Shukla,576d6fdf
info,registry,people,Shaik Basha,1b77c4c6
info,registry,people,Sohail Ahmed,4db71b2e
