match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.1,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,2,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.2,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,1,1,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.3,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.4,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.5,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.6,Cyprus,Bulgaria,AA Senn,R Mazumder,Danyal Raja,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,0.7,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,1.1,Cyprus,Bulgaria,AA Senn,R Mazumder,J Dowling,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,1.2,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,1.3,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,1.4,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,1.5,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,1.6,Cyprus,Bulgaria,AA Senn,R Mazumder,J Dowling,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,2.1,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,2.2,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,2.3,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,2,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,2.4,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,2.5,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,2,,,,2,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,2.6,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.1,Cyprus,Bulgaria,AA Senn,R Mazumder,J Dowling,2,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.2,Cyprus,Bulgaria,AA Senn,R Mazumder,J Dowling,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.3,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.4,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.5,Cyprus,Bulgaria,AA Senn,R Mazumder,J Dowling,0,1,,1,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.6,Cyprus,Bulgaria,AA Senn,R Mazumder,J Dowling,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,3.7,Cyprus,Bulgaria,R Mazumder,AA Senn,J Dowling,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.1,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.2,Cyprus,Bulgaria,AA Senn,R Mazumder,Danyal Raja,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.3,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.4,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.5,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.6,Cyprus,Bulgaria,R Mazumder,AA Senn,Danyal Raja,0,2,2,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,4.7,Cyprus,Bulgaria,AA Senn,R Mazumder,Danyal Raja,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.1,Cyprus,Bulgaria,AA Senn,R Mazumder,Zeerak Chughtai,0,1,1,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.2,Cyprus,Bulgaria,AA Senn,R Mazumder,Zeerak Chughtai,0,4,,,4,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.3,Cyprus,Bulgaria,AA Senn,R Mazumder,Zeerak Chughtai,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.4,Cyprus,Bulgaria,AA Senn,R Mazumder,Zeerak Chughtai,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.5,Cyprus,Bulgaria,AA Senn,R Mazumder,Zeerak Chughtai,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.6,Cyprus,Bulgaria,AA Senn,R Mazumder,Zeerak Chughtai,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,5.7,Cyprus,Bulgaria,R Mazumder,AA Senn,Zeerak Chughtai,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,6.1,Cyprus,Bulgaria,R Mazumder,AA Senn,P Mishra,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,6.2,Cyprus,Bulgaria,R Mazumder,AA Senn,P Mishra,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,6.3,Cyprus,Bulgaria,R Mazumder,AA Senn,P Mishra,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,6.4,Cyprus,Bulgaria,R Mazumder,AA Senn,P Mishra,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,6.5,Cyprus,Bulgaria,R Mazumder,AA Senn,P Mishra,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,6.6,Cyprus,Bulgaria,AA Senn,R Mazumder,P Mishra,0,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,7.1,Cyprus,Bulgaria,R Mazumder,AA Senn,Jakob Gul,2,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,7.2,Cyprus,Bulgaria,R Mazumder,AA Senn,Jakob Gul,4,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,7.3,Cyprus,Bulgaria,R Mazumder,AA Senn,Jakob Gul,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,7.4,Cyprus,Bulgaria,AA Senn,R Mazumder,Jakob Gul,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,7.5,Cyprus,Bulgaria,R Mazumder,AA Senn,Jakob Gul,1,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,7.6,Cyprus,Bulgaria,AA Senn,R Mazumder,Jakob Gul,2,0,,,,,,,,,
1506445,2025/26,2025-11-02,Happy Valley Ground 2,1,8.1,Cyprus,Bulgaria,R Mazumder,AA Senn,P Mishra,0,0,,,,,,,,,
